#Lambda_Wang12   A_lambda_Wang12 A_lambda_LMC   A_lambda_M31  Index   sigma    sigma_classic  a_sigma  b_sigma c_sigma         a_sigma_old b_sig_o  c_sig_o   Lambda_CMD25     A_lambda_MW_CMD25  Lambda_Wang12    A_lambda_Wang12  Lamb_original   A_lambda_MW  A_lambda_Rv25                                                                                                                                                                                                                                                                                         lambda    A_Rv22    A_Rv25    A_Rv28    A_Rv31    A_Rv34    A_Rv37    A_Rv40    A_Rv43    A_Rv46    A_Rv49    A_Rv52  (This is a grid of A_lambda computed for different Rv from 2.2 to 5.2 by steps of 0.3)
0.153863         2.61685         2.71980        1.41944       1       0.15     0.15           0.67     -16.72  0.10            0.70       -16.72    0.05      0.172215         2.51779            0.153863         2.61685          0.15423         2.61287      3.32845        #FUV - Galex	http://dogwood.physics.mcmaster.ca/Acurve.html  Extinction_curve_interpolation.py  2.61287   2.67419            2.51779 (0.172215 um)    #Filter		Reference_for_MW				Reference_for_LMC          MW        Seibert05_MW       Girardi                0.15386   3.82980   3.32845   2.93452   2.61685   2.35523   2.13604   1.94972   1.78941   1.65000   1.52766   1.41944                     
0.231803         2.60000         2.78806        1.73656       2       0.15     0.15           0.66     -16.72  0.10            0.69       -16.72    0.05      0.255669         2.27499            0.231803         2.80020          0.22744         2.94763      3.43231        #NUV - Galex	http://dogwood.physics.mcmaster.ca/Acurve.html  Extinction_curve_interpolation.py  2.94763   2.63871            2.27499 (0.255669 um)                                                                                                                                  0.23180   3.87766   3.43231   3.08239   2.80020   2.56781   2.37310   2.20760   2.06519   1.94136   1.83269   1.73656
0.3665           1.55484         1.52817        1.31470       3       0.05     0.05           0.55     -12.67  0.12            0.55       -12.67    0.12      0.364189         1.54892            0.364189         1.54892          0.35706         1.55484      1.69542        #U - Johnson                  					Extinction_curve_interpolation.py                                                                                                                                                                                                      0.36650   1.79541   1.69542   1.61686   1.55350   1.50132   1.45761   1.42045   1.38848   1.36068   1.33628   1.31470
0.4363           1.32258         1.30294        1.20076       4       0.05     0.05           0.43     -10.06  0.10            0.43       -10.06    0.10      0.446062         1.29719            0.446062         1.29719          0.43781         1.32258      1.41975        #B - Johnson                  					Extinction_curve_interpolation.py                                                                                                                                                                                                      0.43630   1.47727   1.41975   1.37456   1.33812   1.30811   1.28296   1.26159   1.24320   1.22721   1.21318   1.20076
0.5447           1.00000         1.01151        1.00711       5       0.05     0.05           0.43     -10.06  0.05            0.43       -10.06    0.05      0.550170         1.00600            0.550170         1.00600          0.54661         1.00000      1.01189        #V - Johnson                  					Extinction_curve_interpolation.py	                                                                                                                                                                                                   0.54470   1.01314   1.01189   1.01090   1.01011   1.00945   1.00890   1.00844   1.00803   1.00769   1.00738   1.00711
0.6414           0.81935         0.81599        0.87397       6       0.05     0.05           0.48     -10.69  0.05            0.48       -10.69    0.05      0.655709         0.81512            0.655709         0.81512          0.65571         0.81935      0.82106        #R - Cousins                  					Extinction_curve_interpolation.py                                                                                                                                                                                                      0.64140   0.80716   0.82106   0.83197   0.84078   0.84803   0.85410   0.85927   0.86371   0.86758   0.87097   0.87397
0.7978           0.59677         0.58125        0.67450       7       0.05     0.05           0.53     -11.12  0.05            0.53       -11.12    0.05      0.803657         0.60329            0.803657         0.60329          0.79788         0.59677      0.55677        #I - Cousins                  					Extinction_curve_interpolation.py	                                                                                                                                                                                                   0.79780   0.52585   0.55677   0.58106   0.60066   0.61679   0.63031   0.64180   0.65168   0.66028   0.66782   0.67450
1.231446         0.27194         0.27580        0.33804       8       0.10     0.10           0.       0.      0.              0.         0.        0.        1.231446         0.29100            1.231446         0.29100          1.21009         0.27194      0.25976        #J - Bessel 							Extinction_curve_interpolation.py	                                                                                                                                                                                                           1.23145   0.23920   0.25976   0.27592   0.28894   0.29967   0.30866   0.31630   0.32287   0.32859   0.33361   0.33804
1.636953         0.16129         0.18888        0.21377       9       0.10     0.10           0.       0.      0.              0.         0.        0.        1.636953         0.18372            1.636953         0.18372          1.629           0.16129      0.16427        #H - Bessel 							Extinction_curve_interpolation.py                                                                                                                                                                                                              1.63695   0.15127   0.16427   0.17448   0.18272   0.18950   0.19519   0.20002   0.20418   0.20779   0.21096   0.21377
2.193719         0.09290         0.03           0.13343       10      0.10     0.10           0.       0.      0.              0.         0.        0.        2.193719         0.11471            2.193719         0.11471          2.205           0.09290      0.10253        #K - Bessel 							Extinction_curve_interpolation.py                                                                                                                                                                                                              2.19372   0.09441   0.10253   0.10890   0.11405   0.11828   0.12183   0.12484   0.12744   0.12969   0.13167   0.13343
0.27153          2.02138         1.90025        1.41068       11      0.05     0.05           0.       0.      0.              0.         0.        0.        0.283200         1.94436            0.283200         1.94436          0.28320         1.92323      2.38432        #F275W - WFC3	http://dogwood.physics.mcmaster.ca/Acurve.html  Extinction_curve_interpolation.py     pivot in http://etc.stsci.edu/etcstatic/users_guide/appendix_b_wfc3.html                                                                                                         0.27153   2.64002   2.38432   2.18341   2.02139   1.88796   1.77616   1.68114   1.59937   1.52827   1.46588   1.41068
